complaint_id,user_id,complaint_text,created_at,category,subcategory,location,department,severity,impact,status,incident_id,source,has_evidence,user_verified
CMP-00249,USR-046,Several systems in Block B - Hostel cannot access the internet.,2026-03-05 18:15,Internet & Network,Internet Speed,Block B - Hostel,IT Services,High,Large Group,Assigned,,Mobile,False,False
CMP-00039,USR-070,The lights in Parking Area are flickering repeatedly.,2026-03-05 21:40,Electricity,Fan,Parking Area,Electrical Maintenance,Medium,Small Group,Investigating,INC-019,Web,False,False
CMP-00276,USR-144,The projector in Computer Lab 1 is not displaying properly.,2026-03-06 11:29,Classroom Equipment,Microphone,Computer Lab 1,Academic Infrastructure,Medium,Individual,Open,,Mobile,False,False
CMP-00661,USR-098,The furniture in Block C - Hostel is broken and needs repair.,2026-03-06 11:32,Hostel,Food,Block C - Hostel,Hostel Administration,Medium,Individual,Open,,Web,True,False
CMP-00312,USR-115,"Water pressure has been very low in Campus Entrance, especially during evening.",2026-03-06 11:39,Water & Sanitation,Leakage,Campus Entrance,Facilities & Maintenance,High,Multiple Users,Closed,,Mobile,True,True
CMP-00914,USR-003,The queue at Seminar Hall is unusually long during lunch.,2026-03-06 15:29,Canteen,Payment,Seminar Hall,Food Services,Low,Small Group,Investigating,,Web,True,False
CMP-00293,USR-219,The Wi-Fi connection in Transport Bay becomes very slow during evening.,2026-03-07 18:14,Internet & Network,Wi-Fi,Transport Bay,IT Services,Medium,Multiple Users,Resolved,INC-012,Web,False,False
CMP-00899,USR-057,The door lock in Central Library is damaged.,2026-03-08 08:17,Hostel,Food,Central Library,Hostel Administration,High,Multiple Users,Assigned,,Mobile,False,False
CMP-00647,USR-243,Food served at Transport Bay was cold today.,2026-03-08 08:49,Canteen,Payment,Transport Bay,Food Services,Medium,Multiple Users,Closed,,Web,True,False
CMP-00359,USR-094,The CCTV camera near Sports Ground appears to be offline.,2026-03-08 10:35,Safety,CCTV,Sports Ground,Security Services,High,Large Group,Reopened,,Mobile,True,False
CMP-00044,USR-214,Several systems in Block A - Hostel cannot access the internet.,2026-03-08 14:20,Internet & Network,Network Availability,Block A - Hostel,IT Services,High,Large Group,Closed,INC-027,Web,True,True
CMP-00330,USR-035,There has been no water supply in Computer Lab 2 since for two days.,2026-03-08 16:57,Water & Sanitation,Leakage,Computer Lab 2,Facilities & Maintenance,High,Large Group,Investigating,,Web,True,False
CMP-00888,USR-142,The washroom in Transport Bay has not been cleaned properly.,2026-03-08 17:48,Cleaning,Washroom Cleaning,Transport Bay,Housekeeping,Medium,Multiple Users,Investigating,,Mobile,False,False
CMP-00827,USR-080,The queue at Block C - Hostel is unusually long during lunch.,2026-03-09 18:22,Canteen,Seating,Block C - Hostel,Food Services,Low,Large Group,Reopened,,Mobile,True,False
CMP-00149,USR-038,The CCTV camera near Computer Lab 1 appears to be offline.,2026-03-09 18:50,Safety,Lighting,Computer Lab 1,Security Services,High,Multiple Users,Resolved,,Mobile,True,True
CMP-00132,USR-052,Food served at Block B - Hostel was cold today.,2026-03-09 20:16,Canteen,Payment,Block B - Hostel,Food Services,Medium,Multiple Users,Closed,,Web,False,True
CMP-00439,USR-229,Food served at ECE Block was cold today.,2026-03-11 10:45,Canteen,Hygiene,ECE Block,Food Services,Medium,Small Group,Open,,Web,True,False
CMP-00831,USR-208,Water is leaking near Campus Entrance and the floor remains wet.,2026-03-11 10:46,Water & Sanitation,Water Pressure,Campus Entrance,Facilities & Maintenance,Medium,Individual,Assigned,INC-023,Web,True,False
CMP-00717,USR-097,Waste bins near Parking Area are overflowing.,2026-03-11 10:55,Cleaning,Washroom Cleaning,Parking Area,Housekeeping,Medium,Individual,Open,,Web,True,False
CMP-00743,USR-226,The computer systems in Seminar Hall are extremely slow.,2026-03-11 11:11,Classroom Equipment,Projector,Seminar Hall,Academic Infrastructure,Medium,Small Group,Resolved,,Mobile,True,False
CMP-00159,USR-184,The queue at Computer Lab 1 is unusually long during lunch.,2026-03-11 11:51,Canteen,Seating,Computer Lab 1,Food Services,Low,Small Group,Closed,,Mobile,True,False
CMP-00817,USR-156,There has been no water supply in Computer Lab 1 since since this morning.,2026-03-11 13:06,Water & Sanitation,Washroom,Computer Lab 1,Facilities & Maintenance,High,Multiple Users,Assigned,INC-018,Web,True,False
CMP-00516,USR-197,Several systems in Block A - Hostel cannot access the internet.,2026-03-11 13:26,Internet & Network,Internet Speed,Block A - Hostel,IT Services,High,Large Group,Resolved,,Mobile,True,True
CMP-00097,USR-037,"Water pressure has been very low in Block C - Hostel, especially during afternoon.",2026-03-11 19:48,Water & Sanitation,Water Supply,Block C - Hostel,Facilities & Maintenance,High,Multiple Users,Investigating,INC-026,Web,True,False
CMP-00529,USR-125,The pathway near Seminar Hall is damaged and difficult to use.,2026-03-11 20:50,Infrastructure,Lighting,Seminar Hall,Facilities & Maintenance,Medium,Large Group,Resolved,,Mobile,False,True
CMP-00739,USR-151,There is a power outage affecting Canteen.,2026-03-12 11:37,Electricity,Power Outage,Canteen,Electrical Maintenance,High,Multiple Users,Resolved,,Mobile,False,False
CMP-00182,USR-135,The queue at Campus Entrance is unusually long during lunch.,2026-03-12 16:18,Canteen,Food Quality,Campus Entrance,Food Services,Low,Small Group,Open,,Mobile,False,False
CMP-00107,USR-015,The washroom in Parking Area has not been cleaned properly.,2026-03-12 17:03,Cleaning,Room Cleaning,Parking Area,Housekeeping,Medium,Multiple Users,Resolved,,Web,False,True
CMP-00924,USR-221,There has been no water supply in Canteen since since yesterday.,2026-03-12 18:30,Water & Sanitation,Water Supply,Canteen,Facilities & Maintenance,High,Large Group,Resolved,,Web,True,False
CMP-00863,USR-010,The CCTV camera near Computer Lab 1 appears to be offline.,2026-03-13 09:13,Safety,Emergency Equipment,Computer Lab 1,Security Services,High,Multiple Users,Investigating,,Mobile,True,False
CMP-00714,USR-103,The pathway near ECE Block is damaged and difficult to use.,2026-03-13 10:46,Infrastructure,Furniture,ECE Block,Facilities & Maintenance,Medium,Multiple Users,Investigating,,Web,True,False
CMP-00815,USR-005,The fan is not working in Block B - Hostel.,2026-03-13 14:10,Electricity,Fan,Block B - Hostel,Electrical Maintenance,Medium,Small Group,Resolved,INC-008,Web,False,False
CMP-00215,USR-223,The queue at Campus Entrance is unusually long during lunch.,2026-03-13 19:59,Canteen,Food Quality,Campus Entrance,Food Services,Low,Large Group,Assigned,,Web,True,False
CMP-00466,USR-244,There is a power outage affecting Campus Entrance.,2026-03-14 12:12,Electricity,Fan,Campus Entrance,Electrical Maintenance,High,Multiple Users,Reopened,,Mobile,True,True
CMP-00754,USR-110,There is a power outage affecting Block B - Hostel.,2026-03-14 13:04,Electricity,Fan,Block B - Hostel,Electrical Maintenance,High,Multiple Users,Closed,,Mobile,False,True
CMP-00518,USR-204,The network keeps disconnecting in Computer Lab 2.,2026-03-14 13:49,Internet & Network,Internet Speed,Computer Lab 2,IT Services,High,Multiple Users,Open,INC-015,Mobile,True,False
CMP-00829,USR-212,The washroom in Computer Lab 1 has not been cleaned properly.,2026-03-15 09:51,Cleaning,Waste Disposal,Computer Lab 1,Housekeeping,Medium,Large Group,Open,,Mobile,True,False
CMP-00365,USR-147,The computer systems in Seminar Hall are extremely slow.,2026-03-15 15:40,Classroom Equipment,Speaker,Seminar Hall,Academic Infrastructure,Medium,Multiple Users,Resolved,,Web,True,True
CMP-00544,USR-205,The lights in Sports Ground are flickering repeatedly.,2026-03-15 18:10,Electricity,Fan,Sports Ground,Electrical Maintenance,Medium,Large Group,Investigating,INC-002,Web,True,False
CMP-00733,USR-064,The door lock in Computer Lab 1 is damaged.,2026-03-16 12:31,Hostel,Furniture,Computer Lab 1,Hostel Administration,High,Multiple Users,Closed,,Web,True,False
CMP-00213,USR-236,Waste bins near Campus Entrance are overflowing.,2026-03-16 12:36,Cleaning,Common Area,Campus Entrance,Housekeeping,Medium,Small Group,Reopened,,Web,False,True
CMP-00771,USR-246,The network keeps disconnecting in ECE Block.,2026-03-16 13:39,Internet & Network,Wi-Fi,ECE Block,IT Services,High,Multiple Users,Investigating,,Mobile,True,False
CMP-00823,USR-116,The pathway near Canteen is damaged and difficult to use.,2026-03-16 21:14,Infrastructure,Building Damage,Canteen,Facilities & Maintenance,Medium,Individual,Open,,Web,False,False
CMP-00280,USR-168,Food served at Block C - Hostel was cold today.,2026-03-17 09:30,Canteen,Seating,Block C - Hostel,Food Services,Medium,Small Group,Reopened,,Web,False,False
CMP-00019,USR-015,The network keeps disconnecting in Main Building.,2026-03-17 11:03,Internet & Network,Internet Speed,Main Building,IT Services,High,Multiple Users,Resolved,,Mobile,True,True
CMP-00053,USR-180,"Water pressure has been very low in Block B - Hostel, especially during morning.",2026-03-17 11:25,Water & Sanitation,Leakage,Block B - Hostel,Facilities & Maintenance,High,Large Group,Resolved,INC-022,Web,False,False
CMP-00496,USR-189,The queue at Block A - Hostel is unusually long during lunch.,2026-03-17 14:48,Canteen,Seating,Block A - Hostel,Food Services,Low,Individual,Resolved,,Web,False,True
CMP-00318,USR-161,The campus bus has not arrived at Block A - Hostel on time.,2026-03-17 18:12,Transport,Bus Delay,Block A - Hostel,Transport Services,Medium,Individual,Investigating,,Web,False,False
CMP-00261,USR-021,The door lock in Block B - Hostel is damaged.,2026-03-17 21:42,Hostel,Laundry,Block B - Hostel,Hostel Administration,High,Multiple Users,Investigating,,Web,True,False
CMP-00712,USR-169,The Wi-Fi connection in Computer Lab 2 becomes very slow during morning.,2026-03-18 13:34,Internet & Network,Network Availability,Computer Lab 2,IT Services,Medium,Individual,Investigating,INC-034,Mobile,True,False
CMP-00430,USR-050,Water is leaking near CSE Block and the floor remains wet.,2026-03-18 16:35,Water & Sanitation,Water Pressure,CSE Block,Facilities & Maintenance,Medium,Individual,Closed,INC-002,Web,False,False
CMP-00991,USR-143,The network keeps disconnecting in Seminar Hall.,2026-03-18 17:12,Internet & Network,Network Availability,Seminar Hall,IT Services,High,Large Group,Resolved,,Mobile,False,True
CMP-00950,USR-064,The furniture in ECE Block is broken and needs repair.,2026-03-18 18:02,Hostel,Food,ECE Block,Hostel Administration,Medium,Individual,Resolved,,Mobile,True,True
CMP-00070,USR-086,The washroom in Campus Entrance has not been cleaned properly.,2026-03-18 21:37,Cleaning,Waste Disposal,Campus Entrance,Housekeeping,Medium,Large Group,Resolved,,Mobile,True,False
CMP-00843,USR-003,"Water pressure has been very low in Seminar Hall, especially during evening.",2026-03-19 08:41,Water & Sanitation,Leakage,Seminar Hall,Facilities & Maintenance,High,Multiple Users,Resolved,,Mobile,False,True
CMP-00520,USR-021,Several systems in Campus Entrance cannot access the internet.,2026-03-19 08:47,Internet & Network,Internet Speed,Campus Entrance,IT Services,High,Multiple Users,Closed,INC-014,Web,True,True
CMP-00983,USR-055,The door lock in Canteen is damaged.,2026-03-19 09:59,Hostel,Furniture,Canteen,Hostel Administration,High,Multiple Users,Closed,,Web,False,False
CMP-00707,USR-071,The computer systems in Computer Lab 1 are extremely slow.,2026-03-19 19:38,Classroom Equipment,Computer,Computer Lab 1,Academic Infrastructure,Medium,Individual,Closed,,Web,False,True
CMP-00830,USR-171,There has been no water supply in Computer Lab 1 since since yesterday.,2026-03-20 08:27,Water & Sanitation,Washroom,Computer Lab 1,Facilities & Maintenance,High,Large Group,Investigating,,Mobile,False,False
CMP-00604,USR-240,The Wi-Fi connection in ECE Block becomes very slow during afternoon.,2026-03-20 13:19,Internet & Network,Wi-Fi,ECE Block,IT Services,Medium,Individual,Closed,INC-027,Web,False,True
CMP-00371,USR-089,Water is leaking near Computer Lab 1 and the floor remains wet.,2026-03-20 13:26,Water & Sanitation,Water Pressure,Computer Lab 1,Facilities & Maintenance,Medium,Multiple Users,Open,,Web,True,False
CMP-00143,USR-150,The campus bus has not arrived at Transport Bay on time.,2026-03-20 15:01,Transport,Bus Availability,Transport Bay,Transport Services,Medium,Large Group,Reopened,,Web,True,True
CMP-00476,USR-202,Food served at Canteen was cold today.,2026-03-20 15:34,Canteen,Seating,Canteen,Food Services,Medium,Individual,Assigned,,Web,True,False
CMP-00327,USR-064,The CCTV camera near Canteen appears to be offline.,2026-03-20 19:37,Safety,CCTV,Canteen,Security Services,High,Large Group,Investigating,,Mobile,True,False
CMP-00749,USR-110,The washroom in Block A - Hostel has not been cleaned properly.,2026-03-21 10:56,Cleaning,Room Cleaning,Block A - Hostel,Housekeeping,Medium,Small Group,Open,,Mobile,True,False
CMP-00633,USR-095,There has been no water supply in Block C - Hostel since for three days.,2026-03-21 17:27,Water & Sanitation,Leakage,Block C - Hostel,Facilities & Maintenance,High,Multiple Users,Resolved,,Web,False,True
CMP-00033,USR-108,The washroom in Computer Lab 2 has not been cleaned properly.,2026-03-21 18:26,Cleaning,Washroom Cleaning,Computer Lab 2,Housekeeping,Medium,Multiple Users,Resolved,,Web,False,False
CMP-00564,USR-213,The lights in Block B - Hostel are flickering repeatedly.,2026-03-22 08:08,Electricity,Socket,Block B - Hostel,Electrical Maintenance,Medium,Multiple Users,Closed,INC-017,Web,False,False
CMP-00871,USR-059,The CCTV camera near Computer Lab 2 appears to be offline.,2026-03-22 09:28,Safety,Emergency Equipment,Computer Lab 2,Security Services,High,Large Group,Closed,,Mobile,False,True
CMP-00594,USR-015,Water is leaking near ECE Block and the floor remains wet.,2026-03-22 14:49,Water & Sanitation,Washroom,ECE Block,Facilities & Maintenance,Medium,Individual,Assigned,INC-010,Mobile,False,False
CMP-00392,USR-156,The projector in Transport Bay is not displaying properly.,2026-03-22 16:20,Classroom Equipment,Microphone,Transport Bay,Academic Infrastructure,Medium,Large Group,Closed,,Mobile,False,False
CMP-00463,USR-157,The computer systems in Canteen are extremely slow.,2026-03-22 16:43,Classroom Equipment,Computer,Canteen,Academic Infrastructure,Medium,Multiple Users,Reopened,,Web,False,False
CMP-00119,USR-195,There is a power outage affecting Block A - Hostel.,2026-03-23 09:53,Electricity,Fan,Block A - Hostel,Electrical Maintenance,High,Multiple Users,Assigned,,Web,True,False
CMP-00509,USR-099,The fan is not working in Computer Lab 1.,2026-03-23 17:38,Electricity,Lighting,Computer Lab 1,Electrical Maintenance,Medium,Large Group,Investigating,,Web,True,False
CMP-00438,USR-053,The lights in Computer Lab 2 are flickering repeatedly.,2026-03-23 20:28,Electricity,Power Outage,Computer Lab 2,Electrical Maintenance,Medium,Small Group,Investigating,INC-033,Mobile,False,False
CMP-00387,USR-046,The CCTV camera near CSE Block appears to be offline.,2026-03-24 14:41,Safety,Emergency Equipment,CSE Block,Security Services,High,Multiple Users,Open,,Web,False,False
CMP-00846,USR-025,The network keeps disconnecting in Campus Entrance.,2026-03-24 17:37,Internet & Network,Internet Speed,Campus Entrance,IT Services,High,Multiple Users,Open,,Web,True,False
CMP-00177,USR-120,There is a power outage affecting Computer Lab 2.,2026-03-24 20:18,Electricity,AC,Computer Lab 2,Electrical Maintenance,High,Large Group,Investigating,,Web,True,False
CMP-00050,USR-146,The pathway near CSE Block is damaged and difficult to use.,2026-03-24 21:15,Infrastructure,Lighting,CSE Block,Facilities & Maintenance,Medium,Large Group,Investigating,,Mobile,True,False
CMP-00809,USR-209,The network keeps disconnecting in Block B - Hostel.,2026-03-24 21:44,Internet & Network,Network Availability,Block B - Hostel,IT Services,High,Multiple Users,Investigating,,Mobile,True,False
CMP-00228,USR-117,The network keeps disconnecting in Computer Lab 2.,2026-03-25 14:37,Internet & Network,Wi-Fi,Computer Lab 2,IT Services,High,Multiple Users,Open,INC-028,Mobile,True,False
CMP-00874,USR-250,There is a power outage affecting Main Building.,2026-03-25 17:23,Electricity,Lighting,Main Building,Electrical Maintenance,High,Large Group,Investigating,INC-024,Web,False,False
CMP-00568,USR-040,The Wi-Fi connection in Transport Bay becomes very slow during 6 PM–10 PM.,2026-03-26 08:18,Internet & Network,Network Availability,Transport Bay,IT Services,Medium,Multiple Users,Resolved,,Web,True,False
CMP-00996,USR-003,The network keeps disconnecting in Canteen.,2026-03-26 09:11,Internet & Network,Wi-Fi,Canteen,IT Services,High,Multiple Users,Resolved,INC-025,Mobile,False,False
CMP-00260,USR-014,There has been no water supply in Block B - Hostel since for three days.,2026-03-26 11:12,Water & Sanitation,Water Pressure,Block B - Hostel,Facilities & Maintenance,High,Large Group,Investigating,INC-032,Web,True,False
CMP-00179,USR-118,The network keeps disconnecting in Main Building.,2026-03-26 11:24,Internet & Network,LAN,Main Building,IT Services,High,Large Group,Closed,,Mobile,False,True
CMP-00752,USR-027,Several systems in CSE Block cannot access the internet.,2026-03-26 15:09,Internet & Network,Network Availability,CSE Block,IT Services,High,Multiple Users,Open,INC-035,Mobile,True,False
CMP-00626,USR-051,The computer systems in Main Building are extremely slow.,2026-03-27 09:56,Classroom Equipment,Smart Board,Main Building,Academic Infrastructure,Medium,Large Group,Reopened,,Mobile,False,False
CMP-00363,USR-090,The furniture in Campus Entrance is broken and needs repair.,2026-03-27 12:23,Hostel,Room Maintenance,Campus Entrance,Hostel Administration,Medium,Multiple Users,Open,,Mobile,False,False
CMP-00939,USR-052,The network keeps disconnecting in Canteen.,2026-03-27 20:03,Internet & Network,Internet Speed,Canteen,IT Services,High,Large Group,Resolved,INC-001,Mobile,False,False
CMP-00399,USR-124,The network keeps disconnecting in Block C - Hostel.,2026-03-28 09:30,Internet & Network,Internet Speed,Block C - Hostel,IT Services,High,Multiple Users,Assigned,INC-009,Mobile,False,False
CMP-00725,USR-055,The projector in Block B - Hostel is not displaying properly.,2026-03-28 18:15,Classroom Equipment,Microphone,Block B - Hostel,Academic Infrastructure,Medium,Multiple Users,Resolved,,Web,True,True
CMP-00479,USR-083,The fan is not working in Central Library.,2026-03-28 20:53,Electricity,Fan,Central Library,Electrical Maintenance,Medium,Individual,Reopened,,Mobile,True,True
CMP-00201,USR-185,The projector in CSE Block is not displaying properly.,2026-03-29 15:50,Classroom Equipment,Computer,CSE Block,Academic Infrastructure,Medium,Multiple Users,Resolved,,Web,False,True
CMP-00943,USR-128,The projector in ECE Block is not displaying properly.,2026-03-29 16:52,Classroom Equipment,Smart Board,ECE Block,Academic Infrastructure,Medium,Individual,Resolved,,Mobile,True,True
CMP-00403,USR-054,The washroom in Block A - Hostel has not been cleaned properly.,2026-03-29 19:51,Cleaning,Waste Disposal,Block A - Hostel,Housekeeping,Medium,Large Group,Resolved,,Mobile,False,True
CMP-00628,USR-196,The campus bus has not arrived at Main Building on time.,2026-03-29 21:03,Transport,Driver,Main Building,Transport Services,Medium,Individual,Closed,,Web,True,True
CMP-00536,USR-234,The Wi-Fi connection in Central Library becomes very slow during afternoon.,2026-03-30 13:26,Internet & Network,Wi-Fi,Central Library,IT Services,Medium,Small Group,Investigating,,Web,False,False
CMP-00797,USR-133,The Wi-Fi connection in ECE Block becomes very slow during 6 PM–10 PM.,2026-03-30 15:39,Internet & Network,Wi-Fi,ECE Block,IT Services,Medium,Multiple Users,Closed,INC-002,Mobile,False,True
CMP-00167,USR-096,There has been no water supply in Central Library since since yesterday.,2026-03-30 19:04,Water & Sanitation,Drainage,Central Library,Facilities & Maintenance,High,Multiple Users,Assigned,INC-009,Web,True,False
CMP-00045,USR-215,Food served at Block A - Hostel was cold today.,2026-03-31 11:41,Canteen,Queue,Block A - Hostel,Food Services,Medium,Individual,Reopened,,Web,False,True
CMP-00510,USR-206,The washroom in ECE Block has not been cleaned properly.,2026-03-31 12:28,Cleaning,Common Area,ECE Block,Housekeeping,Medium,Large Group,Closed,,Web,False,True
CMP-00799,USR-065,The fan is not working in Block B - Hostel.,2026-03-31 19:35,Electricity,Fan,Block B - Hostel,Electrical Maintenance,Medium,Large Group,Resolved,,Mobile,False,False
CMP-00122,USR-202,"Water pressure has been very low in Seminar Hall, especially during evening.",2026-04-01 11:36,Water & Sanitation,Washroom,Seminar Hall,Facilities & Maintenance,High,Large Group,Open,,Mobile,True,False
CMP-00879,USR-202,The projector in Block B - Hostel is not displaying properly.,2026-04-01 16:32,Classroom Equipment,Computer,Block B - Hostel,Academic Infrastructure,Medium,Large Group,Resolved,,Web,False,True
CMP-00987,USR-214,There has been no water supply in Central Library since since this morning.,2026-04-01 18:51,Water & Sanitation,Leakage,Central Library,Facilities & Maintenance,High,Multiple Users,Closed,INC-017,Web,True,False
CMP-00095,USR-040,The Wi-Fi connection in Central Library becomes very slow during evening.,2026-04-01 21:42,Internet & Network,Internet Speed,Central Library,IT Services,Medium,Multiple Users,Resolved,INC-033,Web,False,True
CMP-00450,USR-101,Food served at Sports Ground was cold today.,2026-04-02 09:55,Canteen,Hygiene,Sports Ground,Food Services,Medium,Small Group,Resolved,,Web,True,False
CMP-00395,USR-235,There has been no water supply in Computer Lab 1 since for three days.,2026-04-02 10:08,Water & Sanitation,Washroom,Computer Lab 1,Facilities & Maintenance,High,Multiple Users,Investigating,INC-026,Mobile,True,False
CMP-00664,USR-100,The network keeps disconnecting in Computer Lab 1.,2026-04-02 10:13,Internet & Network,Wi-Fi,Computer Lab 1,IT Services,High,Multiple Users,Closed,,Web,True,True
CMP-00494,USR-192,The fan is not working in Block C - Hostel.,2026-04-02 12:15,Electricity,Socket,Block C - Hostel,Electrical Maintenance,Medium,Large Group,Resolved,INC-030,Mobile,True,False
CMP-00622,USR-223,There is a power outage affecting Computer Lab 1.,2026-04-03 08:17,Electricity,Power Outage,Computer Lab 1,Electrical Maintenance,High,Multiple Users,Reopened,,Web,True,True
CMP-00231,USR-229,The furniture in Computer Lab 2 is broken and needs repair.,2026-04-03 08:31,Hostel,Room Maintenance,Computer Lab 2,Hostel Administration,Medium,Small Group,Investigating,,Mobile,True,False
CMP-00190,USR-027,The computer systems in ECE Block are extremely slow.,2026-04-03 09:05,Classroom Equipment,Microphone,ECE Block,Academic Infrastructure,Medium,Large Group,Assigned,,Mobile,True,False
CMP-00328,USR-142,The lights in Sports Ground are flickering repeatedly.,2026-04-03 10:43,Electricity,AC,Sports Ground,Electrical Maintenance,Medium,Large Group,Resolved,,Web,False,True
CMP-00008,USR-161,The pathway near Central Library is damaged and difficult to use.,2026-04-03 11:08,Infrastructure,Furniture,Central Library,Facilities & Maintenance,Medium,Individual,Closed,,Mobile,True,True
CMP-00923,USR-236,The fan is not working in Computer Lab 1.,2026-04-03 16:12,Electricity,Socket,Computer Lab 1,Electrical Maintenance,Medium,Multiple Users,Open,INC-017,Web,False,False
CMP-00134,USR-206,Several systems in Parking Area cannot access the internet.,2026-04-03 16:14,Internet & Network,LAN,Parking Area,IT Services,High,Multiple Users,Closed,INC-024,Mobile,False,True
CMP-00162,USR-177,The lights in Canteen are flickering repeatedly.,2026-04-03 19:15,Electricity,Lighting,Canteen,Electrical Maintenance,Medium,Large Group,Assigned,INC-033,Web,False,False
CMP-00738,USR-085,The lights in Computer Lab 1 are flickering repeatedly.,2026-04-04 13:19,Electricity,Fan,Computer Lab 1,Electrical Maintenance,Medium,Individual,Closed,,Web,False,False
CMP-00591,USR-063,The network keeps disconnecting in Canteen.,2026-04-04 13:52,Internet & Network,Wi-Fi,Canteen,IT Services,High,Large Group,Reopened,,Web,False,False
CMP-00539,USR-147,The CCTV camera near CSE Block appears to be offline.,2026-04-04 14:12,Safety,CCTV,CSE Block,Security Services,High,Large Group,Investigating,,Web,False,False
CMP-00729,USR-042,The projector in CSE Block is not displaying properly.,2026-04-04 14:57,Classroom Equipment,Computer,CSE Block,Academic Infrastructure,Medium,Individual,Reopened,,Mobile,False,False
CMP-00543,USR-082,The queue at Main Building is unusually long during lunch.,2026-04-04 15:09,Canteen,Payment,Main Building,Food Services,Low,Multiple Users,Closed,,Web,False,False
CMP-00497,USR-144,The Wi-Fi connection in Central Library becomes very slow during 6 PM–10 PM.,2026-04-04 15:39,Internet & Network,Wi-Fi,Central Library,IT Services,Medium,Multiple Users,Investigating,,Mobile,False,False
CMP-00081,USR-248,Food served at Transport Bay was cold today.,2026-04-04 16:32,Canteen,Payment,Transport Bay,Food Services,Medium,Multiple Users,Closed,,Web,False,True
CMP-00386,USR-197,The CCTV camera near Sports Ground appears to be offline.,2026-04-04 20:39,Safety,Lighting,Sports Ground,Security Services,High,Large Group,Investigating,,Mobile,False,False
CMP-00572,USR-024,The Wi-Fi connection in Sports Ground becomes very slow during evening.,2026-04-05 16:12,Internet & Network,LAN,Sports Ground,IT Services,Medium,Large Group,Resolved,,Web,False,True
CMP-00181,USR-106,The queue at Computer Lab 1 is unusually long during lunch.,2026-04-06 08:39,Canteen,Hygiene,Computer Lab 1,Food Services,Low,Individual,Open,,Web,True,False
CMP-00499,USR-229,There has been no water supply in Block B - Hostel since since yesterday.,2026-04-06 13:28,Water & Sanitation,Water Pressure,Block B - Hostel,Facilities & Maintenance,High,Large Group,Resolved,INC-005,Web,True,True
CMP-00680,USR-099,The computer systems in Campus Entrance are extremely slow.,2026-04-06 14:31,Classroom Equipment,Projector,Campus Entrance,Academic Infrastructure,Medium,Large Group,Closed,,Mobile,False,True
CMP-00937,USR-196,The lights in Campus Entrance are flickering repeatedly.,2026-04-06 17:21,Electricity,Fan,Campus Entrance,Electrical Maintenance,Medium,Multiple Users,Open,,Mobile,True,False
CMP-00701,USR-180,The washroom in Campus Entrance has not been cleaned properly.,2026-04-07 08:51,Cleaning,Washroom Cleaning,Campus Entrance,Housekeeping,Medium,Small Group,Closed,,Web,False,False
CMP-00098,USR-199,The queue at Main Building is unusually long during lunch.,2026-04-07 14:29,Canteen,Seating,Main Building,Food Services,Low,Multiple Users,Assigned,,Mobile,True,False
CMP-00533,USR-227,Waste bins near Sports Ground are overflowing.,2026-04-07 15:29,Cleaning,Waste Disposal,Sports Ground,Housekeeping,Medium,Small Group,Resolved,,Mobile,True,False
CMP-00620,USR-032,The projector in Sports Ground is not displaying properly.,2026-04-07 21:38,Classroom Equipment,Projector,Sports Ground,Academic Infrastructure,Medium,Small Group,Closed,,Web,False,True
CMP-00612,USR-127,Waste bins near CSE Block are overflowing.,2026-04-07 21:57,Cleaning,Washroom Cleaning,CSE Block,Housekeeping,Medium,Small Group,Investigating,,Mobile,True,False
CMP-00645,USR-231,Waste bins near CSE Block are overflowing.,2026-04-08 08:11,Cleaning,Waste Disposal,CSE Block,Housekeeping,Medium,Multiple Users,Resolved,,Web,False,True
CMP-00786,USR-023,Food served at Central Library was cold today.,2026-04-08 12:54,Canteen,Food Quality,Central Library,Food Services,Medium,Individual,Reopened,,Web,True,True
CMP-00006,USR-069,Several systems in Computer Lab 1 cannot access the internet.,2026-04-08 12:59,Internet & Network,LAN,Computer Lab 1,IT Services,High,Multiple Users,Closed,,Web,False,False
CMP-00988,USR-042,The door lock in Parking Area is damaged.,2026-04-08 13:35,Hostel,Furniture,Parking Area,Hostel Administration,High,Large Group,Open,,Web,True,False
CMP-00531,USR-197,"Water pressure has been very low in Block C - Hostel, especially during afternoon.",2026-04-08 17:43,Water & Sanitation,Washroom,Block C - Hostel,Facilities & Maintenance,High,Multiple Users,Closed,,Web,True,True
CMP-00462,USR-004,Food served at Main Building was cold today.,2026-04-08 18:45,Canteen,Payment,Main Building,Food Services,Medium,Multiple Users,Investigating,,Web,True,False
CMP-00274,USR-167,The washroom in Block A - Hostel has not been cleaned properly.,2026-04-09 08:10,Cleaning,Waste Disposal,Block A - Hostel,Housekeeping,Medium,Small Group,Resolved,,Web,True,True
CMP-00221,USR-165,Water is leaking near Main Building and the floor remains wet.,2026-04-09 09:46,Water & Sanitation,Water Pressure,Main Building,Facilities & Maintenance,Medium,Multiple Users,Assigned,INC-025,Mobile,True,False
CMP-00286,USR-112,The network keeps disconnecting in Block B - Hostel.,2026-04-09 16:37,Internet & Network,Network Availability,Block B - Hostel,IT Services,High,Multiple Users,Assigned,INC-034,Mobile,False,False
CMP-00204,USR-148,The pathway near Central Library is damaged and difficult to use.,2026-04-10 08:45,Infrastructure,Road,Central Library,Facilities & Maintenance,Medium,Multiple Users,Closed,,Web,False,False
